p,mean p omega
0.0739,0.2256
0.0739,0.1026
0.1889,0.1417
0.1889,0.2795
0.1606,0.0703
0.0075,0.1476
0.1350,0.0764
0.0820,0.1387
0.1690,0.1493
0.2643,0.2092
0.2517,0.2099
0.1137,0.1974
0.2183,0.1678
0.2254,0.3341
0.2254,0.2254
0.2254,0.3728
0.4877,0.2434
0.1998,0.2727
0.1716,0.2008
0.1716,0.2980
0.5199,0.1726
0.1010,0.3097
0.0948,0.1051
0.1010,0.3089
0.2039,0.1808
0.1799,0.1774
0.1213,0.1444
0.2635,0.2423
0.3782,0.3049
0.2890,0.3656
0.3994,0.2450
0.0026,0.2527
0.0026,0.0570
0.1113,0.2102
0.5555,0.3354
0.5555,0.5134
0.4720,0.2120
0.0068,0.2915
0.1113,0.0597
0.1113,0.2616
0.2584,0.1139
0.0739,0.1406
0.1151,0.1724
0.3119,0.1066
0.0075,0.1511
0.0660,0.0221
0.0075,0.0997
0.1690,0.1196
0.1690,0.1683
0.1690,0.2287
0.2517,0.1755
0.0760,0.2152
0.0760,0.0760
0.0760,0.2449
0.2254,0.3119
0.4934,0.3493
0.1998,0.3992
0.1998,0.1998
0.1998,0.1340
0.1556,0.1154
0.0728,0.3137
0.5199,0.1051
0.1233,0.3951
0.8422,0.1465
0.2384,0.3656
0.1780,0.2087
0.1780,0.2066
0.2635,0.2865
0.3782,0.3135
0.3958,0.3563
0.3994,0.4246
0.5963,0.2774
0.1113,0.3051
0.1113,0.1113
0.1113,0.4340
0.5732,0.3619
0.4950,0.5732
0.5732,0.2770
0.1113,0.2705
0.3323,0.1539
0.1966,0.3561
0.1151,0.2297
0.1151,0.1151
0.1151,0.1574
0.0660,0.0813
0.0660,0.0534
0.0660,0.1053
0.2202,0.1554
0.1663,0.2123
0.2301,0.2043
0.2517,0.2380
0.2401,0.1609
0.0760,0.2263
0.4527,0.2601
0.4527,0.3770
0.0151,0.1405
0.3704,0.2023
0.1998,0.2396
0.0175,0.1087
0.0175,0.0730
0.0595,0.0683
0.1233,0.1906
0.1233,0.1233
0.1233,0.4210
0.2384,0.2000
0.2384,0.2878
0.2635,0.2094
0.2635,0.2054
0.2166,0.2438
0.3586,0.2485
0.3070,0.4153
0.5963,0.3619
0.5104,0.2331
0.1113,0.3808
0.4961,0.1985
0.2857,0.3681
0.5732,0.3412
0.4950,0.4508
0.1806,0.2301
0.1966,0.1769
0.1966,0.1966
0.5332,0.1906
0.1151,0.2810
0.1368,0.1316
0.1368,0.0741
0.0155,0.0865
0.1275,0.1603
0.2202,0.2441
0.2301,0.2837
0.2301,0.2301
0.2301,0.2550
0.2401,0.1858
0.1365,0.2095
0.4357,0.2946
0.4527,0.3355
0.2267,0.2254
0.2072,0.2986
0.3704,0.1580
0.0175,0.2415
0.0595,0.1250
0.0595,0.1294
0.0595,0.1546
0.1233,0.2592
0.4804,0.0947
0.0005,0.2871
0.5750,0.1385
0.1575,0.3149
0.5387,0.3260
0.2166,0.1220
0.0747,0.2392
0.3070,0.1225
0.0338,0.2827
0.1137,0.2658
0.4054,0.1561
0.2857,0.3006
0.1504,0.1866
0.0891,0.3085
0.4214,0.2387
0.2817,0.2182
0.0017,0.1691
0.1966,0.1716
0.3389,0.4429
0.3389,0.1931
0.1593,0.1582
0.0155,0.1177
0.0155,0.0155
0.0155,0.1465
0.2215,0.2209
0.5180,0.2258
0.2301,0.4182
0.2980,0.1635
0.1365,0.3183
0.1365,0.1365
0.1365,0.2673
0.2267,0.2716
0.2267,0.2267
0.2267,0.1714
0.2072,0.2263
0.2880,0.2536
0.4055,0.1876
0.3392,0.2945
0.3736,0.2865
0.3736,0.2263
0.1318,0.2880
0.0925,0.1018
0.1575,0.2294
0.1575,0.1575
0.0966,0.1113
0.0747,0.1503
0.0747,0.0747
