p,mean p omega,u,deg
0.9964,0.9863,10.0338,3.0000
0.9623,0.9761,9.9927,3.0000
0.9766,0.9826,9.9655,7.0000
0.9801,0.9824,9.9486,1.0000
0.9842,0.9785,9.9615,4.0000
0.9807,0.9751,10.0038,2.0000
0.9801,0.9786,10.0147,1.0000
0.9776,0.9806,9.8071,6.0000
0.9882,0.9860,9.8292,5.0000
0.9623,0.9899,9.8864,3.0000
0.9841,0.9790,10.1199,5.0000
0.9820,0.9772,10.1420,2.0000
0.9808,0.9799,9.9357,5.0000
0.9623,0.9835,9.9834,4.0000
0.9841,0.9813,10.1713,3.0000
0.9835,0.9790,9.9707,4.0000
0.9812,0.9810,9.8722,5.0000
0.9843,0.9794,10.1163,5.0000
0.9695,0.9739,9.8738,4.0000
0.9729,0.9793,10.0882,2.0000
0.9841,0.9781,10.0174,4.0000
0.9826,0.9759,10.0444,6.0000
0.9790,0.9751,10.1294,6.0000
0.9812,0.9876,9.8293,4.0000
0.9835,0.9784,10.0095,4.0000
0.9629,0.9749,9.9370,5.0000
0.9719,0.9766,10.0501,5.0000
0.9835,0.9819,10.0541,5.0000
0.9730,0.9847,10.0200,3.0000
0.9922,0.9631,9.9500,3.0000
0.9786,0.9794,9.8757,6.0000
0.9855,0.9815,10.0629,4.0000
0.9843,0.9721,9.9861,6.0000
0.9786,0.9843,10.0675,1.0000
0.9623,0.9825,9.9121,3.0000
0.9786,0.9824,9.8087,12.0000
0.9835,0.9796,10.0217,5.0000
0.9776,0.9720,9.9453,4.0000
0.9809,0.9841,9.9431,3.0000
0.9801,0.9835,9.9657,5.0000
0.9851,0.9848,9.9740,7.0000
0.9800,0.9776,9.9356,2.0000
0.9656,0.9820,10.0290,5.0000
0.9729,0.9865,10.0320,4.0000
0.9948,0.9810,10.0209,4.0000
0.9776,0.9798,10.0900,3.0000
0.9809,0.9803,10.0031,4.0000
0.9809,0.9830,9.9993,2.0000
0.9719,0.9935,9.7871,4.0000
0.9863,0.9897,10.1365,3.0000
0.9837,0.9814,9.9807,5.0000
0.9623,0.9871,9.7933,2.0000
0.9841,0.9804,9.9148,5.0000
0.9836,0.9796,9.9941,6.0000
0.9843,0.9749,9.9837,2.0000
0.9841,0.9807,9.9518,4.0000
0.9809,0.9796,10.0058,3.0000
0.9729,0.9623,10.2234,2.0000
0.9807,0.9851,9.9720,6.0000
0.9776,0.9788,9.9346,5.0000
0.9780,0.9901,9.9580,4.0000
0.9695,0.9862,9.9770,3.0000
0.9895,0.9805,10.0471,4.0000
0.9776,0.9818,9.9863,3.0000
0.9801,0.9818,10.0480,7.0000
0.9927,0.9808,9.9658,4.0000
0.9623,0.9776,9.9419,2.0000
0.9766,0.9817,10.0244,6.0000
0.9747,0.9810,10.0905,7.0000
0.9817,0.9780,10.0499,2.0000
0.9776,0.9738,10.0672,3.0000
0.9776,0.9839,10.0000,3.0000
0.9870,0.9787,10.0270,4.0000
0.9729,0.9682,10.0105,2.0000
0.9592,0.9829,9.9336,11.0000
0.9629,0.9623,10.0058,4.0000
0.9889,0.9739,10.1628,3.0000
0.9855,0.9625,10.1917,4.0000
0.9468,0.9741,9.7988,2.0000
0.9656,0.9839,10.0332,2.0000
0.9843,0.9706,9.9085,3.0000
0.9719,0.9786,9.9325,2.0000
0.9747,0.9809,10.0957,3.0000
0.9841,0.9734,10.2669,10.0000
0.9656,0.9738,9.9658,4.0000
0.9801,0.9837,9.9643,1.0000
0.9820,0.9715,10.2172,6.0000
0.9895,0.9838,9.9702,2.0000
0.9855,0.9836,9.9719,5.0000
0.9592,0.9803,9.8933,2.0000
0.9730,0.9786,9.9249,6.0000
0.9895,0.9800,10.0645,3.0000
0.9948,0.9802,10.0532,4.0000
0.9835,0.9758,10.1867,4.0000
0.9807,0.9807,10.0000,1.0000
0.9786,0.9805,10.0590,5.0000
0.9786,0.9839,9.9465,5.0000
0.9776,0.9738,10.0733,6.0000
0.9826,0.9701,10.1286,3.0000
0.9776,0.9659,10.1528,4.0000
0.9835,0.9730,10.1042,1.0000
0.9901,0.9799,9.9389,5.0000
0.9841,0.9851,9.9310,4.0000
0.9801,0.9782,10.0235,5.0000
0.9695,0.9623,10.1542,4.0000
0.9870,0.9796,9.9305,4.0000
0.9786,0.9832,10.0866,4.0000
0.9807,0.9758,10.1092,3.0000
0.9985,0.9766,10.0152,5.0000
0.9815,0.9901,0.0000,1.0000
0.9778,0.9898,9.8182,8.0000
0.9896,0.9814,10.0056,5.0000
0.9747,0.9796,9.9737,5.0000
0.9870,0.9793,10.0451,7.0000
0.9808,0.9808,10.0788,1.0000
0.9719,0.9767,9.9633,6.0000
0.9855,0.9807,10.0123,6.0000
0.9792,0.9845,10.0482,1.0000
0.9901,0.9734,10.0580,2.0000
0.9870,0.9870,9.9061,2.0000
0.9843,0.9806,10.0008,7.0000
0.9629,0.9855,9.7743,7.0000
0.9840,0.9787,9.8933,3.0000
0.9826,0.9800,10.0438,4.0000
0.9901,0.9803,9.9871,3.0000
0.9863,0.9845,10.0222,3.0000
0.9555,0.9765,10.0509,6.0000
0.9855,0.9757,10.1185,4.0000
0.9792,0.9850,9.9734,5.0000
0.9901,0.9837,9.9668,6.0000
0.9766,0.9787,10.0689,4.0000
0.9837,0.9854,9.9347,4.0000
0.9592,0.9857,9.9745,4.0000
0.9841,0.9780,10.0420,3.0000
0.9776,0.9818,9.8936,8.0000
0.9730,0.9805,9.9752,4.0000
0.9820,0.9831,9.8693,2.0000
0.9582,0.9793,9.8352,4.0000
0.9778,0.9828,10.0691,5.0000
0.9729,0.9755,9.8693,3.0000
0.9901,0.9824,10.0289,5.0000
0.9843,0.9829,9.8613,3.0000
0.9623,0.9846,9.9415,5.0000
0.9592,0.9827,9.8543,2.0000
0.9895,0.9845,9.8884,4.0000
