p,mean p omega,u,deg
0.9801,0.9774,9.9746,4.0000
0.9801,0.9653,10.1620,5.0000
0.9547,0.9795,9.8954,5.0000
0.9884,0.9788,10.0272,6.0000
0.9801,0.9855,9.9554,1.0000
0.9809,0.9660,10.5582,4.0000
0.9884,0.9715,10.1615,2.0000
0.9845,0.9775,9.7975,4.0000
0.9293,0.9629,9.7511,1.0000
0.9801,0.9280,9.9937,3.0000
0.9763,0.9822,9.7636,7.0000
0.9629,0.9582,9.9174,4.0000
0.7495,NaN,0.0000,0.0000
0.9545,0.9817,9.7545,5.0000
0.9936,0.9656,10.2786,3.0000
0.9874,0.9836,10.0111,5.0000
0.9647,0.9664,10.4811,5.0000
0.9781,0.9631,10.1740,2.0000
0.9801,0.9526,10.0157,5.0000
0.9727,0.9824,10.0057,3.0000
0.9470,0.9801,9.6908,2.0000
0.9849,0.9601,10.1077,5.0000
0.9629,0.9480,9.9613,7.0000
0.9849,0.9801,10.0397,1.0000
0.9801,0.9664,10.1962,5.0000
0.9809,0.9807,9.9749,4.0000
0.9804,0.9653,10.1666,4.0000
0.9989,0.9759,10.1972,7.0000
0.9781,0.9746,10.0244,8.0000
0.9753,0.9782,10.0733,3.0000
0.9713,0.9713,10.0240,3.0000
0.9515,0.9718,10.0778,6.0000
0.9936,0.9780,9.8676,3.0000
0.9936,0.9771,10.0344,3.0000
0.9644,0.9529,9.9605,2.0000
0.9763,0.9745,9.9935,4.0000
0.9629,0.9792,9.6587,5.0000
0.9936,0.9842,9.9569,2.0000
0.9835,0.9740,10.0250,3.0000
0.9855,0.9567,9.8732,7.0000
0.9647,0.9768,9.9687,3.0000
0.9820,0.9674,10.0744,3.0000
0.9468,0.9707,9.7218,4.0000
0.9801,0.9790,10.0671,4.0000
0.9006,0.9487,11.2556,11.0000
0.9547,0.8977,9.9660,3.0000
0.9780,0.9673,10.0717,7.0000
0.9713,0.9727,0.0000,1.0000
0.9936,0.9776,9.9499,5.0000
0.9609,NaN,0.0000,0.0000
0.9665,0.9668,9.7968,5.0000
0.9809,0.9704,10.0439,6.0000
0.9855,0.9721,10.0298,7.0000
0.9580,0.9611,10.5158,3.0000
0.9802,0.9589,10.1460,6.0000
0.9513,0.9775,9.9149,6.0000
0.9629,0.9860,9.4669,7.0000
0.9665,NaN,0.0000,0.0000
0.9801,0.9797,10.0000,5.0000
0.9545,0.9754,9.8584,3.0000
0.9801,0.9588,10.2878,3.0000
0.9801,0.9663,10.2890,8.0000
0.9809,0.9749,9.9249,3.0000
0.9727,0.9730,9.9342,3.0000
0.9826,0.9742,9.9685,4.0000
0.9801,0.9801,10.0000,1.0000
0.9719,0.9763,9.9556,1.0000
0.9801,0.9700,10.0681,2.0000
0.9727,0.9768,9.9539,2.0000
0.9743,0.9852,9.8114,4.0000
0.9513,0.9737,9.9824,3.0000
0.9199,0.9716,9.6893,3.0000
0.9547,0.9769,9.7599,4.0000
0.8386,0.9589,9.9159,5.0000
0.9855,0.9855,9.8874,4.0000
0.9801,0.9673,10.1498,5.0000
0.9855,0.9752,10.0000,3.0000
0.9763,0.9711,9.8557,4.0000
0.9644,0.9719,9.7779,2.0000
0.8223,0.9868,9.3650,2.0000
0.9801,0.9712,9.7715,6.0000
0.9780,0.9763,10.4966,1.0000
0.9801,0.9713,10.0020,2.0000
0.9648,0.9736,9.7474,4.0000
0.9801,0.9696,9.9194,6.0000
0.9845,0.9812,10.0182,3.0000
0.9647,0.9711,9.9636,3.0000
0.9833,0.9804,9.9373,5.0000
0.9545,0.9768,9.9661,3.0000
0.9801,0.9791,9.9036,8.0000
0.9654,0.9612,10.1510,5.0000
0.9801,0.9703,10.2066,5.0000
0.9880,0.9623,10.1743,6.0000
0.9809,0.9801,9.7122,1.0000
0.9801,0.9781,10.1251,5.0000
0.9763,0.9746,10.0886,6.0000
0.9637,0.9706,10.0242,7.0000
0.9801,0.9617,9.9707,5.0000
0.9706,0.9606,9.8388,3.0000
0.9826,0.9836,9.8567,6.0000
0.9654,0.9493,9.8608,5.0000
0.9855,0.9762,10.0537,4.0000
0.9781,0.9753,10.0398,3.0000
0.9849,0.9604,10.1901,7.0000
0.9693,0.9678,9.8158,3.0000
0.9529,0.9801,9.9256,4.0000
0.9644,0.9863,9.8164,3.0000
0.9199,0.9709,9.8831,6.0000
0.9637,0.9629,0.0000,1.0000
0.9644,0.9688,10.0702,3.0000
0.9855,0.9824,10.0692,2.0000
