p,mean p omega,u,deg
0.1648,0.1374,10.0000,4.0000
0.1648,0.1111,10.0000,3.0000
0.0036,0.1039,9.6319,4.0000
0.0797,0.0903,10.4663,4.0000
0.0797,0.0685,9.7733,6.0000
0.0847,0.0527,9.8888,4.0000
0.0954,0.0623,10.4171,5.0000
0.0049,0.0850,9.6507,4.0000
0.0815,0.0455,10.3380,3.0000
0.0815,0.0710,9.6848,3.0000
0.0815,0.0752,9.9057,3.0000
0.0133,0.0207,10.3273,3.0000
0.0133,0.0113,10.0000,3.0000
0.0133,0.0226,10.0000,4.0000
0.0208,0.0741,9.1477,4.0000
0.0966,0.0473,9.9113,4.0000
0.0588,0.0611,10.5857,3.0000
0.0279,0.0726,10.5357,5.0000
0.0403,0.0140,9.2207,3.0000
0.0035,0.0286,10.2102,4.0000
0.0108,0.0472,9.3368,4.0000
0.0270,0.0725,9.5274,2.0000
0.0108,0.0467,11.1822,3.0000
0.1185,0.0725,7.7631,4.0000
0.0338,0.0819,11.1500,3.0000
0.0936,0.0639,10.3301,4.0000
0.0032,0.0576,10.1885,3.0000
0.0338,0.0363,9.4573,4.0000
0.0176,0.0237,10.0620,3.0000
0.0108,0.0434,10.6222,5.0000
0.0159,0.0570,9.8334,3.0000
0.1378,0.1057,9.6988,4.0000
0.1378,0.0775,10.0606,6.0000
0.0593,0.0407,9.0172,4.0000
0.0107,0.0423,10.8155,4.0000
0.0107,0.0433,9.9332,4.0000
0.0593,0.0691,9.8890,5.0000
0.1520,0.0350,9.6980,3.0000
0.1007,0.0356,9.5937,4.0000
0.0053,0.0093,10.0689,3.0000
0.1648,0.1648,10.0000,4.0000
0.1648,0.1134,9.4627,3.0000
0.0107,0.0540,11.0673,4.0000
0.1850,0.0840,8.8411,3.0000
0.0892,0.1111,10.2548,3.0000
0.0913,0.0739,9.9453,7.0000
0.0815,0.0818,10.1764,5.0000
0.0815,0.0689,9.9465,5.0000
0.0443,0.0643,10.1943,4.0000
0.0073,0.1338,9.9509,2.0000
0.0659,0.0357,10.0236,4.0000
0.0133,0.0118,10.0273,4.0000
0.0073,0.0151,9.9704,5.0000
0.0133,0.0197,9.9704,4.0000
0.1525,0.0350,10.6710,6.0000
0.0966,0.0658,10.2246,4.0000
0.0457,0.1135,8.7334,5.0000
0.2073,0.0284,10.3901,5.0000
0.0265,0.0486,10.3339,6.0000
0.0035,0.0242,10.2412,4.0000
0.1059,0.0425,10.8031,5.0000
0.0108,0.0764,9.5102,3.0000
0.0108,0.0108,10.6326,4.0000
0.1185,0.1299,10.6603,3.0000
0.0338,0.0434,9.3074,4.0000
0.1185,0.0510,10.2921,4.0000
0.0859,0.0794,10.1739,3.0000
0.0338,0.0528,10.2460,5.0000
0.0338,0.0483,10.0730,3.0000
0.0939,0.0462,10.3063,3.0000
0.0173,0.0749,9.5248,3.0000
0.1282,0.0579,10.9177,4.0000
0.0593,0.0638,9.3381,6.0000
0.0036,0.0357,11.0537,4.0000
0.0107,0.0119,10.1679,8.0000
0.0036,0.0301,10.7247,5.0000
0.0593,0.0786,10.0340,5.0000
0.0593,0.0311,9.7930,2.0000
0.0924,0.1378,10.0000,1.0000
0.0108,0.0897,10.2200,3.0000
0.1648,0.0686,9.6843,3.0000
0.0265,0.0611,6.5351,6.0000
0.0265,0.0371,11.0369,5.0000
0.0950,0.0802,9.2674,3.0000
0.1622,0.0744,9.5204,3.0000
0.0815,0.1117,10.2037,3.0000
0.0815,0.0602,9.7216,3.0000
0.0244,0.0458,9.6425,3.0000
0.1527,0.1772,10.4191,2.0000
0.2017,0.0728,10.3144,4.0000
0.0269,NaN,10.0000,0.0000
0.0133,0.0247,10.0154,5.0000
0.0014,0.0167,10.0904,6.0000
0.0449,0.0364,10.2397,6.0000
0.0966,0.0493,10.1081,5.0000
0.0966,0.0655,9.9489,3.0000
0.0035,0.0553,9.4333,4.0000
0.0032,0.0694,10.6524,5.0000
0.0032,0.0149,9.8251,4.0000
0.0631,0.0538,9.5803,5.0000
0.0036,0.0376,10.3436,3.0000
0.1059,0.0130,9.4721,6.0000
0.0108,0.0367,10.1164,4.0000
0.0269,0.0133,10.3343,4.0000
0.0108,0.0238,9.2823,3.0000
0.0210,0.0782,9.4618,5.0000
0.0859,0.0702,9.9049,5.0000
0.0859,0.0346,9.8261,4.0000
0.0173,0.0443,9.5675,4.0000
0.0107,0.0121,10.3047,4.0000
0.0211,0.0498,10.6229,6.0000
0.0173,0.0890,10.2686,2.0000
0.0659,0.0346,10.9262,5.0000
0.0134,0.0387,7.0602,5.0000
0.0317,0.0182,10.9689,4.0000
0.0593,0.0084,10.1319,3.0000
0.1609,0.0029,10.7808,3.0000
0.0029,0.0921,9.4649,5.0000
0.1007,0.0636,9.8214,5.0000
0.1007,0.0557,10.2014,6.0000
0.0301,0.0850,9.2281,4.0000
0.0195,0.0289,10.4134,3.0000
0.0265,0.0353,10.4655,6.0000
0.0265,0.0135,10.0016,2.0000
0.0525,0.0711,9.3309,4.0000
0.0517,0.0315,10.6260,4.0000
0.0815,0.0693,10.2666,5.0000
0.0320,0.0812,10.0540,5.0000
0.1527,0.0750,9.6063,5.0000
0.0269,0.1271,9.1617,3.0000
0.0308,0.0490,9.0091,4.0000
0.0014,0.0125,10.1056,4.0000
0.0014,0.0018,10.0323,5.0000
0.0014,0.0326,10.3858,4.0000
0.0827,0.0672,9.6999,5.0000
0.0186,0.0688,10.8884,3.0000
0.0757,0.0023,10.7794,3.0000
0.0000,0.0180,9.9778,4.0000
0.0032,0.0020,10.0618,4.0000
0.0032,0.0271,10.2807,5.0000
0.0032,0.0032,10.2363,4.0000
0.0032,0.0284,10.4200,4.0000
0.0032,0.0153,9.9281,4.0000
0.0208,0.0498,9.9789,5.0000
0.0108,0.0203,10.2787,5.0000
0.0014,0.0811,9.6307,3.0000
0.1122,0.0495,9.7494,4.0000
0.0957,0.0205,10.5174,5.0000
0.0173,0.0173,10.2288,3.0000
0.0173,0.0680,10.3380,2.0000
0.1187,0.0173,8.9861,2.0000
0.0498,0.0339,9.7503,3.0000
0.0134,0.0430,9.8412,3.0000
0.0134,0.0452,11.5590,3.0000
0.0053,0.0551,9.0178,6.0000
0.0029,0.0742,8.7376,4.0000
0.0029,0.0744,10.1881,3.0000
0.0827,0.0536,9.7423,4.0000
0.1007,0.0417,10.0182,4.0000
0.0890,0.0695,9.3310,5.0000
0.0548,0.0422,10.2970,4.0000
0.0301,0.0310,10.1150,4.0000
0.0301,0.0221,10.1143,4.0000
0.0159,0.0204,9.9822,2.0000
0.0369,0.0634,9.1876,4.0000
0.0053,0.0024,10.0093,2.0000
0.0927,0.0827,9.2130,6.0000
0.0254,0.0510,10.1298,4.0000
0.1527,0.0610,9.0836,3.0000
0.0269,0.0529,10.8705,5.0000
0.0269,0.0226,9.6711,5.0000
0.0176,0.0292,9.6122,4.0000
0.0014,0.0055,10.6423,4.0000
0.0014,0.0253,9.2100,4.0000
0.0701,0.0230,10.7770,5.0000
0.0280,0.0327,10.0704,3.0000
0.0000,0.0558,9.8097,6.0000
0.0000,0.0226,10.4914,6.0000
0.0016,0.0021,9.9776,4.0000
0.0016,0.0025,10.6465,4.0000
0.0014,0.0410,8.8366,5.0000
0.0265,0.0283,10.1979,4.0000
0.0265,0.0241,10.2370,4.0000
0.0208,0.0402,10.0976,4.0000
0.0265,0.0183,10.3178,4.0000
0.0208,0.0521,9.4872,5.0000
0.0998,0.0501,10.0823,3.0000
0.0244,0.0392,9.6405,3.0000
0.0173,0.0221,10.0000,4.0000
0.0701,0.0352,10.1276,3.0000
0.0173,0.0576,10.2668,4.0000
0.1124,0.0714,10.4627,5.0000
0.0924,0.0661,10.0473,4.0000
0.1089,0.0324,9.3549,3.0000
0.0593,0.0743,9.7268,3.0000
0.0593,0.0311,10.2659,4.0000
0.0159,0.0516,10.6679,4.0000
0.0338,0.0588,9.7372,6.0000
0.1432,0.0838,9.6778,2.0000
0.1432,0.0895,9.0281,4.0000
0.0195,0.0478,10.6499,5.0000
0.0195,0.0340,10.2741,3.0000
0.0159,0.0308,9.7495,4.0000
0.0107,0.0103,10.0615,5.0000
0.0053,0.0112,10.3883,5.0000
0.0014,0.0103,10.3973,6.0000
0.0403,0.0030,10.1807,5.0000
0.0053,0.0363,10.2338,5.0000
0.0606,0.0099,9.9943,4.0000
0.0280,0.0279,9.0002,3.0000
0.0320,0.0372,10.0133,4.0000
0.0871,0.0239,10.5704,4.0000
